X_Value,Strain1,Strain2,Strain3,Strain4
70,0.001724,-0.000588,0.00069,0.000481
70.5,0.001723,-0.000586,0.000692,0.000482
71,0.001719,-0.000587,0.000695,0.000484
71.5,0.001722,-0.000584,0.000695,0.000478
72,0.001723,-0.000587,0.000694,0.000485
72.5,0.001724,-0.000584,0.000692,0.000479
73,0.001723,-0.000585,0.000696,0.000479
73.5,0.00172,-0.000584,0.000693,0.000481
74,0.001697,-0.000596,0.000714,0.000492
74.5,0.001655,-0.000607,0.000751,0.000507
75,0.001659,-0.000606,0.000747,0.000502
75.5,0.001662,-0.000601,0.00075,0.000504
76,0.001666,-0.000606,0.000743,0.000503
76.5,0.001666,-0.000606,0.000741,0.000503
77,0.001663,-0.000605,0.000741,0.000503
77.5,0.001667,-0.000604,0.000744,0.0005
78,0.001668,-0.000605,0.000739,0.000501
78.5,0.001672,-0.000605,0.000739,0.000503
79,0.001672,-0.000604,0.000739,0.000502
79.5,0.001665,-0.000601,0.00074,0.000502
80,0.001669,-0.000605,0.000739,0.000501
80.5,0.001668,-0.00061,0.00074,0.0005
81,0.001671,-0.000608,0.000737,0.000498
81.5,0.001671,-0.000606,0.000737,0.000497
82,0.001672,-0.000606,0.00074,0.000504
82.5,0.001669,-0.000604,0.000738,0.000499
83,0.001671,-0.000606,0.000739,0.0005
83.5,0.001674,-0.00061,0.000734,0.000496
84,0.001674,-0.000612,0.000736,0.000502
84.5,0.001672,-0.000608,0.000739,0.000497
85,0.001669,-0.000607,0.000738,0.0005
85.5,0.001672,-0.000605,0.000743,0.000501
86,0.001671,-0.000607,0.000735,0.000499
86.5,0.001674,-0.000608,0.000739,0.0005
87,0.001673,-0.00061,0.000737,0.000499
87.5,0.00167,-0.000608,0.000735,0.0005
88,0.00167,-0.000606,0.000736,0.000502
88.5,0.001671,-0.000607,0.000736,0.000501
89,0.001673,-0.000605,0.000738,0.000499
89.5,0.001673,-0.000607,0.000737,0.000497
90,0.001674,-0.000611,0.000735,0.000499
90.5,0.001671,-0.000605,0.000737,0.000499
91,0.001675,-0.000606,0.000736,0.000497
