X_Value,Strain1,Strain2,Strain3,Strain4,
75,0.002107,0.005118,0.000617,0.001356,
75.5,0.002109,0.005119,0.000624,0.001361,
76,0.002103,0.005118,0.00063,0.00136,
76.5,0.002106,0.005121,0.000623,0.001357,
77,0.002104,0.005117,0.000632,0.001362,
77.5,0.002101,0.005121,0.00063,0.001356,
78,0.002101,0.005121,0.00063,0.001355,
78.5,0.002099,0.005125,0.000638,0.001358,
79,0.002098,0.00512,0.000635,0.001355,
79.5,0.002098,0.005115,0.000636,0.001356,
80,0.002098,0.005114,0.000636,0.001356,
80.5,0.002097,0.005115,0.000635,0.001357,
81,0.002093,0.005115,0.00064,0.001355,
81.5,0.002092,0.005113,0.000639,0.001355,
82,0.002092,0.005111,0.000636,0.001357,
82.5,0.00209,0.005113,0.00064,0.001363,
83,0.002094,0.00512,0.000638,0.001354,
83.5,0.002058,0.005077,0.000664,0.0014,
84,0.001983,0.004909,0.000742,0.001571,
84.5,0.001951,0.0048,0.000763,0.00169,
85,0.001945,0.004765,0.000771,0.00171,
85.5,0.00195,0.004769,0.000759,0.001702,
86,0.001961,0.004768,0.000755,0.001697,
86.5,0.001964,0.004773,0.000755,0.001695,
87,0.001962,0.004771,0.000753,0.001693,
87.5,0.001966,0.004773,0.000748,0.001694,
88,0.001968,0.004775,0.000747,0.001697,
88.5,0.001968,0.004775,0.000743,0.001693,
89,0.001972,0.004771,0.000746,0.001693,
89.5,0.001971,0.004781,0.000745,0.001691,
90,0.001968,0.004771,0.000746,0.001691,
90.5,0.001975,0.004775,0.000743,0.001694,
91,0.001976,0.004778,0.00074,0.001695,
91.5,0.001977,0.004777,0.00074,0.001691,
92,0.001978,0.004776,0.000742,0.00169,
92.5,0.001982,0.004777,0.00074,0.001689,
93,0.001979,0.004773,0.000737,0.001688,
93.5,0.001978,0.004781,0.000739,0.001688,
94,0.001978,0.004777,0.000739,0.001686,
94.5,0.001981,0.00478,0.000739,0.001689,
95,0.001978,0.004781,0.000741,0.001686,
95.5,0.001982,0.004778,0.000736,0.001688,
96,0.00198,0.00478,0.000738,0.001688,
96.5,0.001981,0.004781,0.000733,0.00169,
97,0.00198,0.004782,0.000734,0.00169,
97.5,0.001981,0.004777,0.000733,0.001683,
98,0.001982,0.004783,0.000737,0.001685,
98.5,0.001982,0.004784,0.000738,0.001685,
99,0.001984,0.004785,0.000735,0.001682,
99.5,0.001985,0.004782,0.000733,0.001687,
100,0.001982,0.004782,0.000731,0.001683,
100.5,0.001982,0.004781,0.000738,0.001686,
101,0.001985,0.004777,0.000728,0.001685,
101.5,0.001984,0.004779,0.000731,0.001685,
102,0.001987,0.004781,0.000732,0.001685,
102.5,0.001985,0.004783,0.000735,0.001682,
